ИП №,Адрес,Город,Тип объекта,Площадь,Кадастровый номер,"Цена покупки, руб",Ссылка на Авито,Нюансы / Комментарии
ИП 19,"ИП №19 /ЗУ/Пермский край, с/пос. Усть-Качкинское, п. Красный Восход",Пермь,земельный участок,18 998 м²,59:32:3290001:3232,844 821,https://www.avito.ru/ust-kachka/zemelnye_uchastki/uchastok_15sot._izhs_3007226532,"17 участков по 7-7,5 соток, 1 участок - дорога. По этому участку идет газовая труба. Заказаны градостроительные планы"
ИП 20,"ИП №20/ 2 ЗУ/Пермский край, Добрянский район, СПК ""Уральская Нива"", ур. Бесово",Пермь,земельный участок,2000 м²,59:18:3500203:1021 / 59:18:3500203:1024,160 000,https://www.avito.ru/polazna/zemelnye_uchastki/uchastok_10sot._izhs_3007582896,"Было два участка, один продан (59:18:3500203:1021 продаем)"
ИП 22,"ИП № 22 /2 ЗУ/Пермский край, д. Пашня, ул. Речная, з/у 13 и 15",Пермь,земельный участок,16874 м²,уч. 13: 59:32:4310001:114/ уч. 15: 59:32:47310001:113,336 000,https://www.avito.ru/yugo-kamskiy/zemelnye_uchastki/uchastok_12sot._izhs_3167657910,Здесь 2
ИП 27,"ИП №27/ЗУ/Пермский край, г. Добрянка, с/т Заря, участок № 39",Пермь,земельный участок,483 м²,59:18:0020806:39,129 174,https://www.avito.ru/polazna/zemelnye_uchastki/uchastok_5sot._izhs_3263046910,
ИП 30,"ИП №30 / ЗУ/Пермский край, СНТ ""Кабельщик № 276"", уч. 130",Пермь,земельный участок,389 м²,59:32:3030011:129 / 59:32:3030011:1521,173 248,https://www.avito.ru/perm/doma_dachi_kottedzhi/dacha_40m_na_uchastke_4sot._3326736298,"Стоит дом (открыт, без ключей), баня, мусор вынесли. Есть центральный водопровод, жилые дома вокруг, кто-то живет круглогодично. Баннера нет"
ИП 35,"ИП № 35/ЗУ+ЖД/Пермский край, г. Краснокамск, Гражданский переулок, д. 37",Пермь,земельный участок,824.34 м²,59:07:0010102:46,5 300 888,https://www.avito.ru/krasnokamsk/gotoviy_biznes/gab_gotovyy_arendnyy_biznes_7454439666,"Дом на 600кв.м Есть центральное водоснабжение, есть центральная канализация, в ближайшем времени (в течение 2 месяцев) подведут газ. Сделан ремонт, дом мебелирован под хостел. Сдавали в аренду целиком. Сейчас не сдается пока."
ИП 50,"ИП №50/ЗУ/Пермский край, д. Гамы",Пермь,земельный участок,6800 м²,59:32:1960001:96 / 59:32:0000000:11102,598 888,https://www.avito.ru/perm/zemelnye_uchastki/uchastok_8_sot._izhs_4095281310,"8 земельных участков, надо съездить посмотреть. Хорошая инфраструктура рядом. Есть детская площадка, школа"
ИП 58,"ИП №58/ЗУ/Пермский край, д. Савино",Пермь,земельный участок,620 м²,59:21:0090001:3947,2 038,,Аренда. Надо переуступить
ИП 60,"ИП №60/КП/Пермь, ул. Солдатова, 32, л.5",Пермь,коммерческая,11.2 м²,59:01:4410946:5230,455 000,https://www.avito.ru/perm/kommercheskaya_nedvizhimost/ofis_12_m_7518576834,"Комерческое помещение в Торговом центре, сдан в аренду за 13 т.р., 8 лет окупаемости"
ИП 62,"ИП №62/КП/Пермь, ул. Солдатова, 32, л.3",,коммерческая,75 м²,59:01:4410946:5227,2 250 000,,"4 коммерческих помещения в торговом центре, 17,8кв.м., 17,2кв.м., 17,9кв.м., общая площадь 70,1. Продаем за 100т.р. за кв.м.Три помещения сдаются в аренду, 10 лет окупаемости (при текущем потоке, можно сдать еще оно помещение)"
ИП 63,"ИП №63/КП/Пермь, ул. Солдатова, 32, л.2",,коммерческая,77.5 м²,59:01:4410946:5217,2 330 000,,"4 коммерческих помещения в торговом центре (2 помещения с окном, 2 без окна), площади: 11,8, 11,7, 12,4, 12,5кв.м."
ИП 64,"ИП №64/КП/Пермь, ул. Солдатова, 32, л.1",,коммерческая,86.2 м²,59:01:4410946:5224,2 600 000,https://www.avito.ru/perm/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_86.7_m_4382949702,"86,2кв.м. Отдельное помещение, изолированный вход. Сейчас сдан в аренду (кафе). 15 лет окупаемости."
ИП 65,"ИП №65/ЗУ/Пермский край, Сылвенское с/п",Пермь,земельный участок,85266 м²,59:32:3620001:227,83 600,,пользуемся 3 года без нарушений. Далее покупаем по кадасровой стоимости. Раз в год выезд проверки. ВРИ растеневодство
ИП 74,"ИП №74/ЗУ/Пермский край, д. Христофоровка",Пермь,земельный участок,17632 м²,59:32:3020003:815,808 999,https://www.avito.ru/perm/zemelnye_uchastki/uchastok_18_ga_izhs_4287250787,"Участок вдоль трассы, назначение: пром, ИЖС. Интересная локация"
ИП 77,"ИП №77/ЗУ/Калининградская обл., п. Сосновка, л.12",Калининград,земельный участок,900 м²,39:05:011009:625,677 350,https://www.avito.ru/zelenogradsk/zemelnye_uchastki/uchastok_8_sot._izhs_4319502028,Участок в муниципальной аренде. Срочная продажа
ИП 78,"ИП №78/ЗУ/Калининградская обл., п. Сосновка, л.9",Калининград,земельный участок,900 м²,39:05:011009:618,712 690,https://www.avito.ru/zelenogradsk/zemelnye_uchastki/uchastok_8_sot._izhs_4319502028,Участок в муниципальной аренде. Срочная продажа
